activity,amount,device,location,frequency,failed_attempts,risk_label,hour,day_of_week,is_weekend
Login,0.0,POS-Terminal,"Los Angeles, US",4,0,Not Fraud,18,2,0
Money Transfer,4411.83,POS-Terminal,"Beijing, CN",2,0,Not Fraud,14,3,0
Add Beneficiary,0.0,Desktop-Windows,"Los Angeles, US",2,0,Not Fraud,11,1,0
Login,0.0,Desktop-Mac,"Los Angeles, US",1,0,Not Fraud,18,0,0
Money Transfer,964.2,Mobile-iOS,"Singapore, SG",2,0,Not Fraud,10,3,0
Password Change,0.0,POS-Terminal,"Moscow, RU",3,0,Not Fraud,9,3,0
Add Beneficiary,0.0,Tablet,"London, UK",2,1,Not Fraud,10,3,0
Add Beneficiary,0.0,POS-Terminal,"Toronto, CA",3,0,Not Fraud,10,0,0
Bill Payment,743.65,Desktop-Mac,"Singapore, SG",2,0,Not Fraud,15,4,0
Money Transfer,15127.85,ATM,"Beijing, CN",3,0,Not Fraud,20,0,0
Wallet Top-up,2583.04,Tablet,"Sao Paulo, BR",4,0,Not Fraud,0,1,0
ATM Withdrawal,486.23,ATM,"Moscow, RU",5,0,Not Fraud,18,1,0
Bill Payment,1620.44,Tablet,"Toronto, CA",1,3,Not Fraud,18,2,0
Money Transfer,14651.56,Mobile-iOS,"Chicago, US",2,0,Fraud,19,2,0
Online Purchase,2787.1,Desktop-Windows,"Delhi, IN",3,0,Not Fraud,18,2,0
Online Purchase,196.76,Mobile-iOS,"New York, US",4,0,Not Fraud,0,5,1
Money Transfer,10307.41,Mobile-iOS,"Sao Paulo, BR",6,0,Not Fraud,10,0,0
Online Purchase,287.51,Desktop-Mac,"Dubai, AE",1,1,Not Fraud,16,2,0
Password Change,0.0,Mobile-iOS,"Sydney, AU",1,0,Not Fraud,19,2,0
Card Swipe,405.93,Tablet,"Dubai, AE",8,3,Not Fraud,20,0,0
Online Purchase,2594.63,Desktop-Mac,"London, UK",4,0,Not Fraud,21,2,0
Bill Payment,573.74,Tablet,"Los Angeles, US",2,0,Not Fraud,9,1,0
Login,0.0,Mobile-Android,"Moscow, RU",3,0,Not Fraud,22,0,0
Loan Application,11910.66,Tablet,"Sydney, AU",7,0,Fraud,16,4,0
ATM Withdrawal,234.04,Desktop-Mac,"Moscow, RU",3,0,Not Fraud,21,4,0
Bill Payment,2800.11,Desktop-Windows,"Chicago, US",5,1,Not Fraud,20,5,1
Money Transfer,18781.65,POS-Terminal,"Lagos, NG",1,0,Fraud,8,1,0
Wallet Top-up,1468.15,POS-Terminal,"Delhi, IN",1,0,Not Fraud,21,4,0
Card Swipe,280.32,POS-Terminal,"Singapore, SG",2,2,Not Fraud,12,0,0
Login,0.0,ATM,"New York, US",2,1,Not Fraud,11,2,0
Loan Application,15002.08,ATM,"Berlin, DE",6,0,Fraud,21,1,0
ATM Withdrawal,88.01,ATM,"Bangalore, IN",1,3,Not Fraud,17,4,0
Online Purchase,75.87,Mobile-Android,"Kolkata, IN",1,0,Not Fraud,9,6,1
Login,0.0,Desktop-Windows,"New York, US",3,0,Not Fraud,7,3,0
Money Transfer,7734.65,Desktop-Mac,"New York, US",7,0,Not Fraud,15,1,0
Money Transfer,18980.05,ATM,"Chicago, US",6,0,Fraud,21,3,0
ATM Withdrawal,281.66,POS-Terminal,"Singapore, SG",3,0,Not Fraud,9,0,0
Online Purchase,1292.52,Desktop-Mac,"Bangalore, IN",1,0,Not Fraud,15,2,0
Wallet Top-up,1993.24,Mobile-iOS,"Beijing, CN",1,0,Not Fraud,16,5,1
Card Swipe,309.52,POS-Terminal,"Lagos, NG",4,0,Not Fraud,18,4,0
Login,0.0,Mobile-Android,"Berlin, DE",1,2,Not Fraud,20,4,0
Card Swipe,75.34,Desktop-Windows,"Kolkata, IN",6,0,Not Fraud,13,0,0
Bill Payment,2232.25,ATM,"Moscow, RU",4,0,Not Fraud,13,2,0
Money Transfer,14285.22,Tablet,"Los Angeles, US",1,0,Not Fraud,10,6,1
Add Beneficiary,0.0,Mobile-iOS,"Dubai, AE",2,1,Not Fraud,11,3,0
Card Swipe,12.89,ATM,"Delhi, IN",4,0,Not Fraud,11,3,0
ATM Withdrawal,223.56,ATM,"Delhi, IN",1,0,Not Fraud,1,0,0
Login,0.0,Mobile-Android,"Los Angeles, US",2,2,Not Fraud,21,3,0
Online Purchase,1366.82,ATM,"Kolkata, IN",2,2,Not Fraud,11,3,0
