activity,amount,device,location,frequency,failed_attempts,risk_label,hour,day_of_week,is_weekend
5,0.0,5,10,4,0,1,18,2,0
6,4411.83,5,1,2,0,1,14,3,0
1,0.0,2,10,2,0,1,11,1,0
5,0.0,1,10,1,0,1,18,0,0
6,964.2,4,15,2,0,1,10,3,0
8,0.0,5,11,3,0,1,9,3,0
1,0.0,6,9,2,1,1,10,3,0
1,0.0,5,18,3,0,1,10,0,0
2,743.65,1,15,2,0,1,15,4,0
6,15127.85,0,1,3,0,1,20,0,0
9,2583.04,6,14,4,0,1,0,1,0
0,486.23,0,11,5,0,1,18,1,0
2,1620.44,6,18,1,3,1,18,2,0
6,14651.56,4,3,2,0,0,19,2,0
7,2787.1,2,4,3,0,1,18,2,0
7,196.76,4,13,4,0,1,0,5,1
6,10307.41,4,14,6,0,1,10,0,0
7,287.51,1,5,1,1,1,16,2,0
8,0.0,4,16,1,0,1,19,2,0
3,405.93,6,5,8,3,1,20,0,0
7,2594.63,1,9,4,0,1,21,2,0
2,573.74,6,10,2,0,1,9,1,0
5,0.0,3,11,3,0,1,22,0,0
4,11910.66,6,16,7,0,0,16,4,0
0,234.04,1,11,3,0,1,21,4,0
2,2800.11,2,3,5,1,1,20,5,1
6,18781.65,5,8,1,0,0,8,1,0
9,1468.15,5,4,1,0,1,21,4,0
3,280.32,5,15,2,2,1,12,0,0
5,0.0,0,13,2,1,1,11,2,0
4,15002.08,0,2,6,0,0,21,1,0
0,88.01,0,0,1,3,1,17,4,0
7,75.87,3,7,1,0,1,9,6,1
5,0.0,2,13,3,0,1,7,3,0
6,7734.65,1,13,7,0,1,15,1,0
6,18980.05,0,3,6,0,0,21,3,0
0,281.66,5,15,3,0,1,9,0,0
7,1292.52,1,0,1,0,1,15,2,0
9,1993.24,4,1,1,0,1,16,5,1
3,309.52,5,8,4,0,1,18,4,0
5,0.0,3,2,1,2,1,20,4,0
3,75.34,2,7,6,0,1,13,0,0
2,2232.25,0,11,4,0,1,13,2,0
6,14285.22,6,10,1,0,1,10,6,1
1,0.0,4,5,2,1,1,11,3,0
3,12.89,0,4,4,0,1,11,3,0
0,223.56,0,4,1,0,1,1,0,0
5,0.0,3,10,2,2,1,21,3,0
7,1366.82,0,7,2,2,1,11,3,0
5,0.0,3,2,3,1,1,23,0,0
7,383.03,5,9,2,0,1,17,2,0
6,11594.76,1,4,4,0,1,21,3,0
4,16120.28,2,16,3,0,1,19,5,1
3,61.71,1,14,2,1,1,22,4,0
3,237.79,0,9,7,0,1,19,0,0
4,12226.12,2,6,1,1,1,12,2,0
9,35.4,1,16,4,1,1,22,4,0
6,5920.0,6,12,3,0,1,12,3,0
0,133.19,5,16,4,0,1,8,4,0
4,19533.31,4,18,2,0,1,14,5,1
5,0.0,0,14,1,0,1,15,4,0
3,176.95,3,5,2,0,1,22,5,1
6,19878.67,6,2,1,0,1,7,3,0
0,288.63,4,11,1,0,1,4,1,0
2,13.01,3,9,4,1,1,13,6,1
4,13240.6,4,11,6,2,0,21,1,0
0,301.57,3,0,2,0,1,19,2,0
6,11980.83,2,13,1,1,1,20,2,0
2,1414.15,6,0,5,4,1,16,6,1
6,17161.78,5,17,5,0,1,11,5,1
0,168.4,0,7,3,0,1,23,0,0
9,1088.53,3,6,2,3,1,18,0,0
5,0.0,5,3,3,0,1,23,0,0
3,474.06,5,18,4,0,1,16,2,0
3,280.12,5,15,5,0,1,12,6,1
0,412.07,6,7,2,0,1,10,5,1
1,0.0,5,9,2,2,1,13,1,0
3,355.56,0,1,1,4,1,19,1,0
6,17490.1,3,14,2,1,1,13,6,1
4,13869.46,5,5,2,0,1,16,3,0
4,1414.99,5,10,9,1,1,16,4,0
0,452.68,2,12,1,0,1,2,0,0
6,12209.36,6,3,2,0,1,12,3,0
9,478.14,5,7,3,0,1,13,1,0
3,62.26,5,18,9,1,1,12,0,0
4,14916.18,0,9,5,0,1,19,4,0
2,1886.6,0,0,3,1,1,21,4,0
1,0.0,2,16,6,2,1,9,0,0
8,0.0,0,7,5,1,1,19,3,0
6,15824.11,2,1,3,0,1,0,6,1
3,22.26,6,9,1,2,1,20,5,1
5,0.0,3,9,2,0,1,22,3,0
4,14858.27,0,16,2,4,0,8,6,1
3,227.9,2,8,9,0,0,10,2,0
6,18982.77,5,11,9,0,0,19,0,0
4,4143.85,4,5,1,1,1,19,5,1
2,1622.95,3,3,2,1,1,19,6,1
2,2226.45,1,2,2,0,1,14,4,0
9,908.38,0,4,3,0,1,16,5,1
8,0.0,6,11,2,0,0,16,2,0
6,15872.27,0,8,5,0,0,7,2,0
3,205.38,5,9,8,1,1,18,5,1
6,1909.94,4,8,3,0,1,7,6,1
8,0.0,5,13,1,0,1,20,0,0
7,468.42,0,8,1,0,1,13,0,0
4,18585.23,2,1,2,0,1,19,6,1
4,13164.03,3,14,1,0,1,5,2,0
4,11944.66,6,13,1,0,0,20,6,1
0,115.63,2,1,3,0,1,14,2,0
1,0.0,2,17,4,1,0,23,5,1
5,0.0,1,16,1,0,1,14,0,0
5,0.0,0,18,2,0,1,13,0,0
1,0.0,6,0,3,0,1,0,4,0
4,8038.97,2,9,4,0,1,6,3,0
7,2718.24,0,3,1,0,1,11,6,1
6,3584.07,6,2,2,3,1,18,6,1
3,43.46,6,10,2,0,1,13,2,0
6,12911.1,6,4,3,4,0,23,0,0
8,0.0,1,10,6,0,1,15,3,0
5,0.0,6,11,2,3,0,10,3,0
8,0.0,1,18,4,1,1,5,0,0
4,13289.06,5,4,3,3,0,21,5,1
8,0.0,5,7,6,0,1,19,4,0
5,0.0,0,0,1,0,1,12,5,1
9,2313.77,5,12,4,0,1,19,4,0
2,2494.88,5,0,2,1,1,18,2,0
3,124.66,0,6,3,0,1,10,3,0
1,0.0,4,2,1,0,1,14,1,0
9,2554.24,1,15,1,0,1,10,1,0
5,0.0,4,4,1,0,1,12,6,1
2,417.11,0,3,4,0,1,10,5,1
0,115.67,1,3,1,0,1,8,4,0
4,9169.42,6,13,2,0,1,7,0,0
7,1714.14,2,10,2,0,1,9,3,0
5,0.0,3,12,1,0,1,16,4,0
5,0.0,4,5,3,5,1,11,5,1
6,14335.1,3,2,6,0,0,22,4,0
0,27.94,0,13,3,0,1,16,5,1
3,448.37,1,12,4,0,1,12,4,0
1,0.0,2,18,1,1,1,15,1,0
2,2070.85,2,11,2,0,1,11,0,0
8,0.0,3,3,3,1,1,14,0,0
8,0.0,4,1,7,0,1,12,2,0
9,1104.02,3,14,2,0,1,11,3,0
7,2989.11,3,3,1,0,1,10,4,0
6,11022.44,5,14,4,0,1,11,0,0
6,19703.39,3,12,3,0,1,19,2,0
0,205.1,0,4,3,0,1,17,2,0
3,343.25,6,11,1,4,0,11,5,1
9,463.28,4,12,7,2,1,8,1,0
9,826.98,6,11,3,0,1,16,4,0
4,871.83,0,8,3,1,0,20,5,1
3,445.61,4,2,3,0,1,14,6,1
3,213.65,2,5,2,5,1,13,3,0
8,0.0,1,3,2,0,1,14,0,0
4,8391.79,2,19,4,0,1,22,0,0
3,254.39,6,0,1,0,1,11,4,0
0,272.98,2,14,4,0,1,19,3,0
8,0.0,1,2,1,5,1,15,5,1
1,0.0,2,14,1,0,1,12,4,0
2,2142.21,6,15,1,3,1,19,5,1
4,6760.65,6,18,5,0,1,19,1,0
5,0.0,0,8,1,0,1,15,6,1
4,15503.39,3,8,4,0,0,12,1,0
7,1234.08,0,14,1,0,1,18,1,0
3,267.48,6,12,2,1,1,11,4,0
0,283.46,5,6,4,0,1,10,5,1
0,69.72,0,12,4,0,1,17,5,1
8,0.0,1,6,5,0,1,21,4,0
4,14830.77,6,9,1,0,1,10,2,0
