  ,activity,amount,timestamp,device,location,frequency,failed_attempts,previous_behavior,risk_label
user_2824,Login,0,05-02-2025 18:15,POS-Terminal,"Los Angeles, US",4,0,Multiple device switches,Not Fraud
user_1488,Money Transfer,4411.83,20-02-2025 14:01,POS-Terminal,"Beijing, CN",2,0,Recently flagged - suspicious history,Not Fraud
user_3615,Add Beneficiary,0,15-07-2025 11:09,Desktop-Windows,"Los Angeles, US",2,0,Dormant account - reactivated,Not Fraud
user_5333,Login,0,25-08-2025 18:34,Desktop-Mac,"Los Angeles, US",1,0,Dormant account - reactivated,Not Fraud
user_4150,Money Transfer,964.2,07-08-2025 10:18,Mobile-iOS,"Singapore, SG",2,0,Dormant account - reactivated,Not Fraud
user_7065,Password Change,0,28-08-2025 09:17,POS-Terminal,"Moscow, RU",3,0,Frequent user - daily activity,Not Fraud
user_8573,Add Beneficiary,0,26-06-2025 10:59,Tablet,"London, UK",2,1,Regular user - consistent pattern,Not Fraud
user_6168,Add Beneficiary,0,26-05-2025 10:13,POS-Terminal,"Toronto, CA",3,0,Consistent single-device user,Not Fraud
user_5339,Bill Payment,743.65,30-05-2025 15:16,Desktop-Mac,"Singapore, SG",2,0,Occasional user - sporadic activity,Not Fraud
user_9085,Money Transfer,15127.85,10-02-2025 20:09,ATM,"Beijing, CN",3,0,Consistent single-device user,Not Fraud
user_5119,Wallet Top-up,2583.04,24-06-2025 00:46,Tablet,"Sao Paulo, BR",4,0,Recently flagged - suspicious history,Not Fraud
user_1053,ATM Withdrawal,486.23,28-01-2025 18:32,ATM,"Moscow, RU",5,0,Frequent user - daily activity,Not Fraud
user_7126,Bill Payment,1620.44,01-01-2025 18:33,Tablet,"Toronto, CA",1,3,Recently flagged - suspicious history,Not Fraud
user_2290,Money Transfer,14651.56,16-07-2025 19:48,Mobile-iOS,"Chicago, US",2,0,Recently flagged - suspicious history,Fraud
user_7932,Online Purchase,2787.1,02-07-2025 18:44,Desktop-Windows,"Delhi, IN",3,0,Consistent single-device user,Not Fraud
user_5061,Online Purchase,196.76,31-05-2025 00:35,Mobile-iOS,"New York, US",4,0,New user - no history,Not Fraud
user_6413,Money Transfer,10307.41,19-05-2025 10:31,Mobile-iOS,"Sao Paulo, BR",6,0,Frequent user - daily activity,Not Fraud
user_7669,Online Purchase,287.51,16-04-2025 16:22,Desktop-Mac,"Dubai, AE",1,1,New user - no history,Not Fraud
user_7596,Password Change,0,19-02-2025 19:06,Mobile-iOS,"Sydney, AU",1,0,Consistent single-device user,Not Fraud
user_2235,Card Swipe,405.93,16-06-2025 20:06,Tablet,"Dubai, AE",8,3,Frequent user - daily activity,Not Fraud
user_8886,Online Purchase,2594.63,01-01-2025 21:10,Desktop-Mac,"London, UK",4,0,Multiple device switches,Not Fraud
user_8973,Bill Payment,573.74,08-07-2025 09:03,Tablet,"Los Angeles, US",2,0,Consistent single-device user,Not Fraud
user_3579,Login,0,17-02-2025 22:05,Mobile-Android,"Moscow, RU",3,0,New user - no history,Not Fraud
user_5033,Loan Application,11910.66,30-05-2025 16:26,Tablet,"Sydney, AU",7,0,Dormant account - reactivated,Fraud
user_3144,ATM Withdrawal,234.04,03-01-2025 21:59,Desktop-Mac,"Moscow, RU",3,0,Frequent user - daily activity,Not Fraud
user_5345,Bill Payment,2800.11,05-04-2025 20:56,Desktop-Windows,"Chicago, US",5,1,Regular user - consistent pattern,Not Fraud
user_5905,Money Transfer,18781.65,28-01-2025 08:07,POS-Terminal,"Lagos, NG",1,0,Dormant account - reactivated,Fraud
user_5325,Wallet Top-up,1468.15,24-01-2025 21:54,POS-Terminal,"Delhi, IN",1,0,Occasional user - sporadic activity,Not Fraud
user_3647,Card Swipe,280.32,20-01-2025 12:00,POS-Terminal,"Singapore, SG",2,2,Occasional user - sporadic activity,Not Fraud
user_3088,Login,0,23-07-2025 11:57,ATM,"New York, US",2,1,New user - no history,Not Fraud
user_7658,Loan Application,15002.08,11-02-2025 21:15,ATM,"Berlin, DE",6,0,Dormant account - reactivated,Fraud
user_5065,ATM Withdrawal,88.01,10-01-2025 17:24,ATM,"Bangalore, IN",1,3,Dormant account - reactivated,Not Fraud
user_4728,Online Purchase,75.87,10-08-2025 09:21,Mobile-Android,"Kolkata, IN",1,0,Multiple device switches,Not Fraud
user_6425,Login,0,29-05-2025 07:16,Desktop-Windows,"New York, US",3,0,Dormant account - reactivated,Not Fraud
user_9379,Money Transfer,7734.65,01-07-2025 15:16,Desktop-Mac,"New York, US",7,0,Frequent user - daily activity,Not Fraud
user_8066,Money Transfer,18980.05,19-06-2025 21:39,ATM,"Chicago, US",6,0,Multiple device switches,Fraud
user_7592,ATM Withdrawal,281.66,23-06-2025 09:42,POS-Terminal,"Singapore, SG",3,0,Regular user - consistent pattern,Not Fraud
user_5700,Online Purchase,1292.52,30-04-2025 15:41,Desktop-Mac,"Bangalore, IN",1,0,Occasional user - sporadic activity,Not Fraud
user_5649,Wallet Top-up,1993.24,12-07-2025 16:05,Mobile-iOS,"Beijing, CN",1,0,Regular user - consistent pattern,Not Fraud
user_5011,Card Swipe,309.52,15-08-2025 18:29,POS-Terminal,"Lagos, NG",4,0,Multiple device switches,Not Fraud
user_3417,Login,0,15-08-2025 20:55,Mobile-Android,"Berlin, DE",1,2,Consistent single-device user,Not Fraud
user_2988,Card Swipe,75.34,02-06-2025 13:33,Desktop-Windows,"Kolkata, IN",6,0,Multiple device switches,Not Fraud
user_8305,Bill Payment,2232.25,05-03-2025 13:16,ATM,"Moscow, RU",4,0,Frequent user - daily activity,Not Fraud
user_8206,Money Transfer,14285.22,17-08-2025 10:21,Tablet,"Los Angeles, US",1,0,Occasional user - sporadic activity,Not Fraud
user_7797,Add Beneficiary,0,16-01-2025 11:29,Mobile-iOS,"Dubai, AE",2,1,Regular user - consistent pattern,Not Fraud
user_7232,Card Swipe,12.89,07-08-2025 11:48,ATM,"Delhi, IN",4,0,Frequent user - daily activity,Not Fraud
user_4595,ATM Withdrawal,223.56,23-06-2025 01:21,ATM,"Delhi, IN",1,0,Occasional user - sporadic activity,Not Fraud
user_9751,Login,0,19-06-2025 21:37,Mobile-Android,"Los Angeles, US",2,2,Occasional user - sporadic activity,Not Fraud
user_6363,Online Purchase,1366.82,13-03-2025 11:56,ATM,"Kolkata, IN",2,2,Consistent single-device user,Not Fraud
user_9837,Login,0,16-06-2025 23:22,Mobile-Android,"Berlin, DE",3,1,Frequent user - daily activity,Not Fraud
user_3496,Online Purchase,383.03,30-04-2025 17:36,POS-Terminal,"London, UK",2,0,New user - no history,Not Fraud
user_6096,Money Transfer,11594.76,21-08-2025 21:36,Desktop-Mac,"Delhi, IN",4,0,Frequent user - daily activity,Not Fraud
user_5941,Loan Application,16120.28,11-01-2025 19:36,Desktop-Windows,"Sydney, AU",3,0,Dormant account - reactivated,Not Fraud
user_7882,Card Swipe,61.71,01-08-2025 22:40,Desktop-Mac,"Sao Paulo, BR",2,1,Recently flagged - suspicious history,Not Fraud
user_9817,Card Swipe,237.79,24-03-2025 19:37,ATM,"London, UK",7,0,Consistent single-device user,Not Fraud
user_8613,Loan Application,12226.12,06-08-2025 12:01,Desktop-Windows,"Houston, US",1,1,Dormant account - reactivated,Not Fraud
user_5526,Wallet Top-up,35.4,04-07-2025 22:05,Desktop-Mac,"Sydney, AU",4,1,Consistent single-device user,Not Fraud
user_1282,Money Transfer,5920,19-06-2025 12:15,Tablet,"Mumbai, IN",3,0,Dormant account - reactivated,Not Fraud
user_5438,ATM Withdrawal,133.19,31-01-2025 08:12,POS-Terminal,"Sydney, AU",4,0,Frequent user - daily activity,Not Fraud
user_5530,Loan Application,19533.31,02-08-2025 14:18,Mobile-iOS,"Toronto, CA",2,0,Occasional user - sporadic activity,Not Fraud
user_1745,Login,0,13-06-2025 15:44,ATM,"Sao Paulo, BR",1,0,Recently flagged - suspicious history,Not Fraud
user_8843,Card Swipe,176.95,03-05-2025 22:16,Mobile-Android,"Dubai, AE",2,0,Regular user - consistent pattern,Not Fraud
user_5978,Money Transfer,19878.67,05-06-2025 07:48,Tablet,"Berlin, DE",1,0,Consistent single-device user,Not Fraud
user_8025,ATM Withdrawal,288.63,15-07-2025 04:47,Mobile-iOS,"Moscow, RU",1,0,Frequent user - daily activity,Not Fraud
user_2229,Bill Payment,13.01,16-03-2025 13:38,Mobile-Android,"London, UK",4,1,Consistent single-device user,Not Fraud
user_5334,Loan Application,13240.6,20-05-2025 21:27,Mobile-iOS,"Moscow, RU",6,2,New user - no history,Fraud
user_3718,ATM Withdrawal,301.57,23-04-2025 19:58,Mobile-Android,"Bangalore, IN",2,0,Recently flagged - suspicious history,Not Fraud
user_8172,Money Transfer,11980.83,04-06-2025 20:47,Desktop-Windows,"New York, US",1,1,Regular user - consistent pattern,Not Fraud
user_1659,Bill Payment,1414.15,16-02-2025 16:58,Tablet,"Bangalore, IN",5,4,Consistent single-device user,Not Fraud
user_6260,Money Transfer,17161.78,15-03-2025 11:44,POS-Terminal,Tor Exit Node,5,0,Consistent single-device user,Not Fraud
user_6153,ATM Withdrawal,168.4,12-05-2025 23:25,ATM,"Kolkata, IN",3,0,Multiple device switches,Not Fraud
user_4073,Wallet Top-up,1088.53,14-07-2025 18:40,Mobile-Android,"Houston, US",2,3,Consistent single-device user,Not Fraud
user_2989,Login,0,03-03-2025 23:38,POS-Terminal,"Chicago, US",3,0,New user - no history,Not Fraud
user_2858,Card Swipe,474.06,27-08-2025 16:09,POS-Terminal,"Toronto, CA",4,0,Consistent single-device user,Not Fraud
user_4993,Card Swipe,280.12,11-05-2025 12:58,POS-Terminal,"Singapore, SG",5,0,Multiple device switches,Not Fraud
user_9318,ATM Withdrawal,412.07,31-05-2025 10:19,Tablet,"Kolkata, IN",2,0,Consistent single-device user,Not Fraud
user_9903,Add Beneficiary,0,18-02-2025 13:20,POS-Terminal,"London, UK",2,2,Multiple device switches,Not Fraud
user_6213,Card Swipe,355.56,22-07-2025 19:24,ATM,"Beijing, CN",1,4,Occasional user - sporadic activity,Not Fraud
user_6439,Money Transfer,17490.1,27-04-2025 13:33,Mobile-Android,"Sao Paulo, BR",2,1,Occasional user - sporadic activity,Not Fraud
user_6546,Loan Application,13869.46,07-08-2025 16:54,POS-Terminal,"Dubai, AE",2,0,Consistent single-device user,Not Fraud
user_1588,Loan Application,1414.99,28-02-2025 16:58,POS-Terminal,"Los Angeles, US",9,1,New user - no history,Not Fraud
user_3725,ATM Withdrawal,452.68,17-03-2025 02:50,Desktop-Windows,"Mumbai, IN",1,0,Occasional user - sporadic activity,Not Fraud
user_3868,Money Transfer,12209.36,08-05-2025 12:43,Tablet,"Chicago, US",2,0,Recently flagged - suspicious history,Not Fraud
user_5712,Wallet Top-up,478.14,18-03-2025 13:22,POS-Terminal,"Kolkata, IN",3,0,Recently flagged - suspicious history,Not Fraud
user_7302,Card Swipe,62.26,17-03-2025 12:22,POS-Terminal,"Toronto, CA",9,1,Recently flagged - suspicious history,Not Fraud
user_1803,Loan Application,14916.18,18-07-2025 19:57,ATM,"London, UK",5,0,Frequent user - daily activity,Not Fraud
user_5106,Bill Payment,1886.6,21-03-2025 21:41,ATM,"Bangalore, IN",3,1,New user - no history,Not Fraud
user_6352,Add Beneficiary,0,19-05-2025 09:08,Desktop-Windows,"Sydney, AU",6,2,Recently flagged - suspicious history,Not Fraud
user_5835,Password Change,0,06-02-2025 19:29,ATM,"Kolkata, IN",5,1,Multiple device switches,Not Fraud
user_6992,Money Transfer,15824.11,27-04-2025 00:34,Desktop-Windows,"Beijing, CN",3,0,Dormant account - reactivated,Not Fraud
user_4830,Card Swipe,22.26,23-08-2025 20:35,Tablet,"London, UK",1,2,Recently flagged - suspicious history,Not Fraud
user_3290,Login,0,30-01-2025 22:19,Mobile-Android,"London, UK",2,0,Dormant account - reactivated,Not Fraud
